,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,42813,91,24810,11153,13657,8484,1014,7403,67,225,504,0,911,7437,3,282,88
17,都島,26293,49,16644,8120,8524,2954,621,2331,2,19,388,0,833,5281,0,107,49
18,福島,22685,918,11402,5437,5965,4182,943,3174,65,19,470,0,510,4413,0,1606,918
19,此花,24079,50,12195,5455,6740,4564,1909,2332,323,221,1084,0,578,4931,0,204,50
20,中央,44826,67,27623,11879,15744,8406,568,7825,13,37,460,0,939,7021,0,162,67
21,西,36103,150,19869,9075,10794,8106,1063,6755,288,10,468,0,734,6223,5,435,145
22,港,28895,82,14182,6404,7778,5432,2136,2702,594,329,798,0,709,6241,0,283,82
23,大正,28378,22,13816,6247,7569,5779,2505,2737,537,125,814,0,584,6744,0,190,22
24,天王寺,18200,42,11545,6391,5154,2169,188,1981,0,15,150,0,462,3708,0,120,42
25,浪速,19755,60,9760,4751,5009,3704,800,2887,17,13,698,0,475,4667,3,243,57
26,西淀川,38983,83,21174,9544,11630,7334,2859,4256,219,76,1165,0,900,7577,0,370,83
27,淀川,56293,85,35099,14750,20349,7639,1012,6607,20,68,579,0,1504,11124,0,239,85
28,東淀川,50693,86,30600,13266,17334,4774,1095,3673,6,122,899,0,1791,12146,0,162,86
29,東成,25263,118,14180,6541,7639,3797,917,2853,27,94,371,0,600,5823,0,343,118
30,生野,40539,127,22766,10284,12482,4417,777,3636,4,70,608,0,952,11109,0,517,127
31,旭,25440,23,15921,7123,8798,2175,383,1788,4,35,304,0,868,6006,0,82,23
32,城東,47328,87,29276,13004,16272,4673,991,3662,20,116,883,0,1572,10314,0,279,87
33,鶴見,37878,37,22502,10162,12340,4537,1734,2774,29,31,619,0,935,8802,0,278,37
34,阿倍野,25240,8,17523,9012,8511,1639,236,1401,2,13,244,0,741,4983,0,79,8
35,住之江,52210,210,27072,11600,15472,10931,4198,3794,2939,250,1831,0,921,9975,1,358,209
36,住吉,42115,11,27361,12211,15150,2795,537,2239,19,138,363,0,1030,9914,1,69,10
37,東住吉,43175,297,25451,11662,13789,4458,1031,3399,28,27,755,0,1038,10752,2,572,295
38,平野,72856,137,42442,18649,23793,8013,1989,5927,97,170,1054,0,1453,19123,0,492,137
39,西成,28228,23,15070,6853,8217,4065,1320,2700,45,54,762,0,657,7353,0,170,23
