,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,40474,129,24284,12283,12001,6691,833,5842,16,217,613,364,91,158,822,7574,17,273,112
17,都島,24838,46,15786,8193,7593,2367,579,1786,2,24,448,233,147,68,726,5402,2,85,44
18,福島,21787,870,11558,6290,5268,3303,805,2459,39,12,529,324,123,82,504,4437,7,1444,863
19,此花,24224,85,11525,5640,5885,4595,2037,2142,416,290,1548,1194,49,305,595,5450,4,221,81
20,中央,44071,71,28193,13844,14349,6756,473,6269,14,36,528,228,120,180,974,7454,16,130,55
21,西,34135,185,19433,9837,9596,6642,979,5448,215,15,698,384,63,251,701,6257,36,389,149
22,港,27522,114,13170,6654,6516,5097,2172,2440,485,211,1706,821,40,845,618,6418,8,302,106
23,大正,26320,54,12378,5893,6485,5303,2365,2500,438,132,1084,674,46,364,507,6694,6,222,48
24,天王寺,17305,46,11282,6831,4451,1647,178,1468,1,15,193,114,48,31,411,3651,3,106,43
25,浪速,18773,65,9581,4964,4617,3123,675,2437,11,17,815,340,292,183,367,4672,5,198,60
26,西淀川,37600,117,19823,9627,10196,6771,2746,3772,253,90,1570,1100,78,392,925,8056,7,365,110
27,淀川,54381,114,33851,15299,18552,6804,1015,5777,12,85,546,421,87,38,1468,11420,26,207,88
28,東淀川,47211,76,27769,12929,14840,4057,1058,2997,2,116,937,681,60,196,1505,12707,5,120,71
29,東成,23564,116,13207,6527,6680,3086,759,2308,19,75,405,231,118,56,602,5909,4,280,112
30,生野,37446,162,20437,9830,10607,3839,813,3021,5,69,665,491,83,91,823,11139,5,474,157
31,旭,23894,25,14370,6830,7540,1810,368,1433,9,35,447,351,43,53,742,6421,4,69,21
32,城東,44729,105,27334,13432,13902,3931,937,2976,18,31,927,544,167,216,1533,10739,5,234,100
33,鶴見,37201,63,21549,10575,10974,4060,1641,2398,21,32,721,461,107,153,975,9604,6,260,57
34,阿倍野,23961,14,16735,9238,7497,1235,200,1034,1,17,235,171,46,18,652,5033,6,54,8
35,住之江,51456,167,24947,11519,13428,11721,4903,3320,3498,197,2769,1794,122,853,907,10654,9,261,158
36,住吉,39354,23,24987,12061,12926,2282,502,1761,19,123,793,288,64,441,988,10123,8,58,15
37,東住吉,41040,263,23488,11525,11963,3871,1039,2773,59,60,858,519,221,118,1134,11216,8,413,255
38,平野,69691,202,38787,18207,20580,7242,2068,5122,52,56,1202,928,159,115,1489,20413,10,502,192
39,西成,25311,34,13028,6179,6849,3533,1295,2195,43,43,713,492,120,101,566,7265,2,163,32
